,value
1711486829.0874877,0.034210205078125
1711486829.286489,0.033966064453125
1711486829.5254889,0.033355712890625
1711486829.7244864,0.024078369140625
1711486829.9243262,0.012237548828125
1711486830.12434,0.009307861328125
1711486830.322447,0.015411376953125
1711486830.5224483,0.018218994140625
1711486830.721454,0.020294189453125
1711486830.9214544,0.021392822265625
1711486831.1204567,0.021759033203125
1711486831.3204923,0.014801025390625
1711486831.5244918,0.012115478515625
1711486831.7243602,0.009918212890625
1711486831.9343603,0.009796142578125
1711486832.1406648,0.007843017578125
1711486832.3396647,0.006378173828125
1711486832.539665,0.007476806640625
1711486832.7386887,0.007476806640625
1711486832.9376888,0.007476806640625
1711486833.1396885,0.007598876953125
1711486833.360687,0.010162353515625
1711486833.5746875,0.010406494140625
1711486833.7736883,0.011627197265625
1711486833.9726884,0.012115478515625
1711486834.1736891,0.012115478515625
1711486834.3756888,0.008453369140625
1711486834.5766897,0.006011962890625
1711486834.7736886,0.005279541015625
1711486834.9736884,0.005279541015625
1711486835.173689,0.006378173828125
1711486835.3956888,0.009063720703125
1711486835.605838,0.011383056640625
1711486835.806235,0.011627197265625
1711486836.0042343,0.009918212890625
1711486836.2052453,0.002105712890625
1711486836.4092462,-0.0015869140625
1711486836.607686,-0.00341796875
1711486836.8156872,-0.00244140625
1711486837.021863,-0.0001220703125
1711486837.2308643,0.004302978515625
1711486837.4428637,0.003692626953125
1711486837.6441956,0.002105712890625
1711486837.855196,-0.0001220703125
1711486838.0551949,-0.000244140625
1711486838.2581947,-0.0045166015625
1711486838.461195,-0.00341796875
1711486838.6781945,-0.00341796875
1711486838.8921945,-0.00341796875
1711486839.0941935,-0.00341796875
1711486839.2931948,-0.00341796875
1711486839.4951959,-0.0047607421875
1711486839.715197,-0.0047607421875
1711486839.9271946,-0.0057373046875
1711486840.126018,-0.0059814453125
1711486840.322017,-0.0059814453125
1711486840.5220501,-0.0068359375
1711486840.7202048,-0.01123046875
1711486840.915204,-0.0101318359375
1711486841.1182039,-0.00927734375
1711486841.3222148,-0.00927734375
1711486841.5282369,-0.0089111328125
1711486841.7502403,-0.0068359375
1711486841.9577556,-0.0042724609375
1711486842.144341,-0.0013427734375
1711486842.3288789,-0.00048828125
1711486842.5298789,-0.00048828125
1711486842.7300353,-0.00048828125
1711486842.9296978,-0.002197265625
1711486843.1319933,-0.002197265625
1711486843.3285432,-0.00244140625
1711486843.529543,-0.00244140625
1711486843.7375557,-0.0025634765625
1711486843.9315572,-0.0045166015625
1711486844.1313682,-0.0045166015625
1711486844.3303707,-0.001953125
1711486844.529368,-0.001953125
1711486844.735368,-0.001953125
1711486844.9303799,-0.001953125
1711486845.1303813,-0.001953125
1711486845.3314176,-0.001953125
1711486845.5304177,-0.001953125
1711486845.7339444,-0.001953125
1711486845.9298654,0.003204345703125
1711486846.130867,0.001983642578125
1711486846.332865,0.001129150390625
1711486846.532865,0.000885009765625
1711486846.7308671,-0.0008544921875
1711486846.932867,-0.0010986328125
1711486847.1298656,-0.0169677734375
1711486847.330867,-0.0181884765625
1711486847.5318651,-0.0152587890625
1711486847.7323883,-0.0059814453125
1711486847.9383876,-0.000732421875
1711486848.160389,-0.0015869140625
1711486848.3434188,-0.0042724609375
1711486848.5455601,-0.0040283203125
1711486848.7555594,-0.010009765625
1711486848.952575,-0.007080078125
1711486849.1435714,-0.0062255859375
1711486849.3285823,-0.00537109375
1711486849.5315835,-0.00537109375
1711486849.7305865,-0.0047607421875
1711486849.9345844,-0.0045166015625
1711486850.1325312,-0.0059814453125
1711486850.3305328,-0.00927734375
1711486850.539531,-0.0078125
1711486850.729875,-0.0076904296875
1711486850.9308772,-0.005126953125
1711486851.1488757,-0.005126953125
1711486851.3598745,-0.0059814453125
1711486851.5448756,-0.006591796875
1711486851.7858765,-0.0078125
1711486851.9770486,-0.008544921875
1711486852.1680474,-0.010009765625
1711486852.3684137,-0.0137939453125
1711486852.5874183,-0.01123046875
1711486852.7785752,-0.008056640625
1711486852.9925768,-0.0103759765625
1711486853.2045753,-0.0115966796875
1711486853.4515777,-0.010986328125
1711486853.649579,-0.010986328125
1711486853.8491988,-0.00927734375
1711486854.0442114,-0.00927734375
1711486854.2482138,-0.00927734375
1711486854.4449403,-0.00927734375
1711486854.6839519,-0.008056640625
1711486854.8799503,-0.0059814453125
1711486855.0889494,-0.0059814453125
1711486855.287948,-0.0059814453125
1711486855.4819503,-0.005126953125
1711486855.6829531,-0.005126953125
1711486855.9549568,-0.00341796875
1711486856.145958,-0.0042724609375
1711486856.3549557,-0.003173828125
1711486856.5469596,-0.001708984375
1711486856.7479594,-0.00048828125
1711486856.9469702,-0.0010986328125
1711486857.146969,-0.0042724609375
1711486857.3509705,-0.0057373046875
1711486857.5609672,-0.0059814453125
1711486857.765975,-0.0054931640625
1711486857.969974,-0.0028076171875
1711486858.1669745,-0.001708984375
1711486858.3690884,-0.0013427734375
1711486858.5670893,-0.0010986328125
1711486858.7661066,0.001129150390625
1711486858.9671056,0.003204345703125
1711486859.1671054,0.008697509765625
1711486859.369104,0.008941650390625
1711486859.5661073,0.010406494140625
1711486859.7691052,0.009552001953125
1711486859.9661055,0.009552001953125
1711486860.1681042,0.009552001953125
1711486860.3661077,0.009552001953125
1711486860.5681043,0.011627197265625
1711486860.7701054,0.010162353515625
1711486860.9940913,0.003814697265625
1711486861.206092,0.001373291015625
1711486861.399813,-0.00048828125
1711486861.6038113,0.002838134765625
1711486861.7998114,0.002838134765625
1711486862.0048115,0.006011962890625
1711486862.2018113,0.008209228515625
1711486862.401811,0.009063720703125
1711486862.6058128,0.008453369140625
1711486862.8018227,0.008453369140625
1711486863.0158248,0.009063720703125
1711486863.2168243,0.009918212890625
1711486863.417825,0.008697509765625
1711486863.639823,0.008697509765625
1711486863.8378346,0.010406494140625
